amount,change,price,time,type,volume,xtim
50217.0,-0.01,26.43,2016-11-18 14:49:36,sell,19.0,2016-11-18 14:49:36
79320.0,--,26.44,2016-11-18 14:49:33,buy,30.0,2016-11-18 14:49:33
13220.0,--,26.44,2016-11-18 14:49:30,buy,5.0,2016-11-18 14:49:30
222096.0,--,26.44,2016-11-18 14:49:27,buy,84.0,2016-11-18 14:49:27
42304.0,--,26.44,2016-11-18 14:49:24,buy,16.0,2016-11-18 14:49:24
185053.0,-0.03,26.44,2016-11-18 14:49:21,sell,69.0,2016-11-18 14:49:21
95318.0,0.02,26.47,2016-11-18 14:49:18,buy,36.0,2016-11-18 14:49:18
1713933.0,-0.02,26.45,2016-11-18 14:49:15,sell,647.0,2016-11-18 14:49:15
26470.0,-0.02,26.47,2016-11-18 14:49:12,sell,10.0,2016-11-18 14:49:12
116556.0,0.01,26.49,2016-11-18 14:49:09,buy,44.0,2016-11-18 14:49:09
13240.0,--,26.48,2016-11-18 14:49:06,buy,5.0,2016-11-18 14:49:06
29128.0,0.02,26.48,2016-11-18 14:49:03,norm,11.0,2016-11-18 14:49:03
132300.0,-0.01,26.46,2016-11-18 14:48:45,sell,50.0,2016-11-18 14:48:45
21176.0,0.01,26.47,2016-11-18 14:48:42,buy,8.0,2016-11-18 14:48:42
100548.0,-0.01,26.46,2016-11-18 14:48:36,sell,38.0,2016-11-18 14:48:36
29117.0,0.01,26.47,2016-11-18 14:48:33,buy,11.0,2016-11-18 14:48:33
50274.0,-0.01,26.46,2016-11-18 14:48:30,sell,19.0,2016-11-18 14:48:30
26470.0,--,26.47,2016-11-18 14:48:27,buy,10.0,2016-11-18 14:48:27
26470.0,--,26.47,2016-11-18 14:48:24,buy,10.0,2016-11-18 14:48:24
172055.0,--,26.47,2016-11-18 14:48:21,buy,65.0,2016-11-18 14:48:21
71469.0,--,26.47,2016-11-18 14:48:18,buy,27.0,2016-11-18 14:48:18
13235.0,--,26.47,2016-11-18 14:48:15,buy,5.0,2016-11-18 14:48:15
26470.0,--,26.47,2016-11-18 14:48:09,buy,10.0,2016-11-18 14:48:09
301758.0,-0.01,26.47,2016-11-18 14:48:06,sell,114.0,2016-11-18 14:48:06
23858.0,--,26.48,2016-11-18 14:48:03,buy,9.0,2016-11-18 14:48:03
10592.0,--,26.48,2016-11-18 14:48:00,buy,4.0,2016-11-18 14:48:00
87384.0,--,26.48,2016-11-18 14:47:57,buy,33.0,2016-11-18 14:47:57
13240.0,--,26.48,2016-11-18 14:47:54,buy,5.0,2016-11-18 14:47:54
377075.0,-0.02,26.48,2016-11-18 14:47:51,sell,142.0,2016-11-18 14:47:51
26500.0,--,26.5,2016-11-18 14:47:48,buy,10.0,2016-11-18 14:47:48
68900.0,0.02,26.5,2016-11-18 14:47:39,buy,26.0,2016-11-18 14:47:39
84206.0,-0.02,26.48,2016-11-18 14:47:36,sell,31.0,2016-11-18 14:47:36
265000.0,0.01,26.5,2016-11-18 14:47:33,buy,100.0,2016-11-18 14:47:33
81589.0,0.01,26.49,2016-11-18 14:47:27,buy,30.0,2016-11-18 14:47:27
7944.0,-0.01,26.48,2016-11-18 14:47:24,sell,3.0,2016-11-18 14:47:24
26490.0,--,26.49,2016-11-18 14:47:21,buy,10.0,2016-11-18 14:47:21
21192.0,--,26.49,2016-11-18 14:47:18,buy,8.0,2016-11-18 14:47:18
1729797.0,-0.05,26.49,2016-11-18 14:47:15,sell,653.0,2016-11-18 14:47:15
15924.0,0.04,26.54,2016-11-18 14:47:12,buy,6.0,2016-11-18 14:47:12
76850.0,-0.04,26.5,2016-11-18 14:47:06,sell,29.0,2016-11-18 14:47:06
18578.0,--,26.54,2016-11-18 14:46:51,sell,7.0,2016-11-18 14:46:51
7962.0,-0.01,26.54,2016-11-18 14:46:45,sell,3.0,2016-11-18 14:46:45
53100.0,0.05,26.55,2016-11-18 14:46:42,buy,20.0,2016-11-18 14:46:42
1968950.0,-0.05,26.5,2016-11-18 14:46:30,sell,743.0,2016-11-18 14:46:30
53100.0,--,26.55,2016-11-18 14:46:27,buy,20.0,2016-11-18 14:46:27
541620.0,-0.01,26.55,2016-11-18 14:46:24,sell,204.0,2016-11-18 14:46:24
18592.0,--,26.56,2016-11-18 14:46:15,buy,7.0,2016-11-18 14:46:15
5312.0,0.01,26.56,2016-11-18 14:46:12,buy,2.0,2016-11-18 14:46:12
132750.0,-0.01,26.55,2016-11-18 14:46:03,sell,50.0,2016-11-18 14:46:03
13280.0,0.01,26.56,2016-11-18 14:46:00,buy,5.0,2016-11-18 14:46:00
966632.0,-0.03,26.55,2016-11-18 14:45:54,sell,364.0,2016-11-18 14:45:54
2658.0,-0.01,26.58,2016-11-18 14:45:51,norm,1.0,2016-11-18 14:45:51
26590.0,0.02,26.59,2016-11-18 14:45:48,buy,10.0,2016-11-18 14:45:48
2657.0,--,26.57,2016-11-18 14:45:30,sell,1.0,2016-11-18 14:45:30
2657.0,-0.02,26.57,2016-11-18 14:45:27,sell,1.0,2016-11-18 14:45:27
13295.0,0.02,26.59,2016-11-18 14:45:24,buy,5.0,2016-11-18 14:45:24
47826.0,--,26.57,2016-11-18 14:45:18,sell,18.0,2016-11-18 14:45:18
797100.0,-0.01,26.57,2016-11-18 14:44:51,sell,300.0,2016-11-18 14:44:51
10632.0,-0.01,26.58,2016-11-18 14:44:48,sell,4.0,2016-11-18 14:44:48
2659.0,--,26.59,2016-11-18 14:44:45,buy,1.0,2016-11-18 14:44:45
7977.0,0.01,26.59,2016-11-18 14:44:42,buy,3.0,2016-11-18 14:44:42
146190.0,-0.01,26.58,2016-11-18 14:44:39,sell,55.0,2016-11-18 14:44:39
18613.0,--,26.59,2016-11-18 14:44:33,buy,7.0,2016-11-18 14:44:33
7977.0,0.01,26.59,2016-11-18 14:44:24,buy,3.0,2016-11-18 14:44:24
